CSHT_QNM_00001,Trạm Điện Bàn,"Đài viễn thông Điện Bàn, Khối 7, Thị trấn Vĩnh Điện, Huyện Điện Bàn",5,108.249080,15.889220,
CSHT_QNM_00002,Trạm Điện Ngọc,"Bưu cục Điện Ngọc, Xã Điện Ngọc, Huyện Điện Bàn",5,108.254910,15.955200,
CSHT_QNM_00003,Trạm Đông Giang,"ĐVT Đông Giang, Thị trấn Prao, Huyện Đông Giang",11,107.649810,15.922930,
CSHT_QNM_00004,Trạm Ngã Ba Bình Minh,"Thôn 6, xã Bình Dương, huyện Thăng Bình, Quảng Nam",6,108.407650,15.805440,
CSHT_QNM_00005,Trạm Tiên Sơn,"BĐVHX Tiên Sơn, Thôn3, Xã Tiên Sơn, Huyện Tiên Phước",3,108.278530,15.574160,
CSHT_QNM_00006,Trạm Eo Gió (Phước Thành),"Xã Phước Thành, huyện Phước Sơn, tỉnh Quảng Nam",9,107.887270,15.297150,
CSHT_QNM_00007,Trạm A Vương,"Thôn Ấp Plố 1, xã A Vương, huyện Đông Giang",11,107.568940,15.943970,
CSHT_QNM_00008,Trạm Duy Phú,"Thôn Mỹ Sơn, Xã Mỹ Sơn, Huyện Duy  Xuyên",7,108.107530,15.786400,
CSHT_QNM_00009,Trạm KV Biên Phòng Cửa Đại,"UBND Phường Cửa Đại, Khối Phước Trạch, Phường  Cửa Đại,Tp. Hội An",4,108.379640,15.887840,
CSHT_QNM_00010,Trạm Pà Dấu 2,"Thôn Pà Dấu 2, TT Thạnh Mỹ,Nam Giang, Quảng Nam",11,107.795030,15.780130,
CSHT_QNM_00011,Trạm Sông Thanh,"Thôn Pà ia, xã Cà dy, huyện Nam Giang.",11,107.720080,15.672120,
CSHT_QNM_00012,Trạm Tam Giang,"xã Tam Giang, huyện Núi Thành, tỉnh Quảng Nam",2,108.655040,15.453440,
CSHT_QNM_00013,Trạm Bình An,"Thôn An Mỹ, xã Bình An, huyện Thăng Bình, tỉnh Quảng Nam",6,108.395590,15.634030,
CSHT_QNM_00014,Trạm Phước Đức,"Thôn 5 xã Phước Đức, huyện Phước Sơn, tỉnh Quảng Nam",9,107.772410,15.421620,
CSHT_QNM_00015,Trạm Bà Rén,"Trạm VT Bà Rén, Thôn Bà Rén, Xã Quế Xuân 1, Huyện Quế Sơn",8,108.291870,15.821200,
CSHT_QNM_00016,Trạm QTC Bảo Việt,"Công ty xây lắp Bưu Điện, Quốc Lộ 1A,  Phường Tân Thạnh, Tp. Tam Kỳ",1,108.464090,15.586857,
CSHT_QNM_00017,Trạm Đồi 240 Tiên Lãnh,"Đồi 240, xã Tiên Hiệp, huyện Tiên Phước, Tỉnh Quảng Nam.",3,108.237450,15.421940,
CSHT_QNM_00018,Trạm Điện Thắng Nam,"Thôn Phong Ngũ Tây, xã Điện Thắng Nam, huyện Điện Bàn, tỉnh Quảng Nam",5,108.226160,15.920700,
CSHT_QNM_00019,Trạm Điện Nam Đông,"Thôn 7A, Xã Điện Nam, Huyện Điện Bàn, tỉnh Quảng Nam",5,108.287703,15.900650,
CSHT_QNM_00020,Trạm CLDC 505 Phước Xuân,"Đồi 505, xã Phước Xuân, huyện Phước Sơn",9,107.841650,15.453710,
CSHT_QNM_00021,Trạm PSB Bình Nam,"Tổ 4, Thôn Đông Cát, xã Bình Nam, huyện Thăng Bình, Tỉnh Quảng Nam.",6,108.474400,15.659440,
CSHT_QNM_00022,Trạm PSB Bình Minh,"Tổ 5, Thôn Tân Long, xã Bình Minh, huyện Thăng Bình, Tỉnh Quảng Nam.",6,108.417340,15.785760,
CSHT_QNM_00023,Trạm Xã Zuôi,"thôn ParumB, xã Zuoih huyện Nam Giang tỉnh Quảng Nam",11,107.461650,15.726980,
CSHT_QNM_00024,Trạm Thôn 1 Quế Long,"Thôn 1, Xã Quế Long, Huyện Quế Sơn, tỉnh Quảng Nam",8,108.202030,15.666610,
CSHT_QNM_00025,Trạm Quế Minh,"Thôn Đại Lộc, Xã Quế Minh, huyện Quế Sơn, Tỉnh Quảng Nam",8,108.234710,15.651160,
CSHT_QNM_00026,Trạm Siêu Thị (30PCT),"320 Phan Chu Trinh, Tam Kỳ, Quảng Nam",1,108.483280,15.572450,
CSHT_QNM_00027,Trạm Hòa Hương,"Đường Phan Châu Trinh, Hoà Hương, Tp. Tam Kỳ",1,108.504230,15.559760,
